Scheme names,AMFI Code,ETmoney Code,URL
Aditya Birla Sun Life Multi Cap Fund,148921,41934,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-multi-cap-fund-direct-growth/portfolio-details/41934
Axis Multicap Fund,149383,42348,https://www.etmoney.com/mutual-funds/axis-multicap-fund/portfolio-details/42348
Bajaj Finserv Multi Cap Fund,153309,45271,https://www.etmoney.com/mutual-funds/bajaj-finserv-multi-cap-fund/portfolio-details/45271
Bandhan Multicap Fund,149303,42285,https://www.etmoney.com/mutual-funds/bandhan-multi-cap-fund/portfolio-details/42285
Bank of India Multicap Fund,151443,43593,https://www.etmoney.com/mutual-funds/bank-of-india-multi-cap-fund/portfolio-details/43593
Baroda BNP Paribas Multi Cap Fund,119354,1657,https://www.etmoney.com/mutual-funds/baroda-bnp-paribas-multi-cap-fund/portfolio-details/1657
Canara Robeco Multi Cap Fund,151824,43976,https://www.etmoney.com/mutual-funds/canara-robeco-multi-cap-fund/portfolio-details/43976
DSP Multicap Fund,152310,44362,https://www.etmoney.com/mutual-funds/dsp-multicap-fund/portfolio-details/44362
Edelweiss Multi Cap Fund,152094,44161,https://www.etmoney.com/mutual-funds/edelweiss-multi-cap-fund/portfolio-details/44161
Franklin India Multi Cap Fund,152739,44768,https://www.etmoney.com/mutual-funds/franklin-india-multi-cap-fund/portfolio-details/44768
Groww Multicap Fund,153034,43952,https://www.etmoney.com/mutual-funds/groww-multicap-fund/portfolio-details/43952
HDFC Multicap Fund,149366,42327,https://www.etmoney.com/mutual-funds/hdfc-multi-cap-fund/portfolio-details/42327
HSBC Multi Cap Fund,151290,43461,https://www.etmoney.com/mutual-funds/hsbc-multi-cap-fund/portfolio-details/43461
ICICI Prudential Multicap Fund,120599,31865,https://www.etmoney.com/mutual-funds/icici-prudential-multicap-fund/portfolio-details/31865
ITI Multi Cap Fund,147183,40307,https://www.etmoney.com/mutual-funds/iti-multi-cap-fund/portfolio-details/40307
Invesco India Multicap Fund,120413,6465,https://www.etmoney.com/mutual-funds/invesco-india-multicap-fund/portfolio-details/6465
Kotak Multicap Fund,149183,42173,https://www.etmoney.com/mutual-funds/kotak-multicap-fund/portfolio-details/42173
LIC MF Multi Cap Fund,150659,43071,https://www.etmoney.com/mutual-funds/lic-mf-multi-cap-fund/portfolio-details/43071
Mahindra Manulife Multi Cap Fund,141223,34477,https://www.etmoney.com/mutual-funds/mahindra-manulife-multi-cap-fund/portfolio-details/34477
Mirae Asset Multicap Fund,151810,43983,https://www.etmoney.com/mutual-funds/mirae-asset-multicap-fund/portfolio-details/43983
Motilal Oswal Multi Cap Fund,152650,44697,https://www.etmoney.com/mutual-funds/motilal-oswal-multi-cap-fund/portfolio-details/44697
Nippon India Multicap Fund,118652,2455,https://www.etmoney.com/mutual-funds/nippon-india-multi-cap-fund/portfolio-details/2455
PGIM India Multi Cap Fund,152815,44863,https://www.etmoney.com/mutual-funds/pgim-india-multi-cap-fund/portfolio-details/44863
Quant Multi Cap Fund,100631,32605,https://www.etmoney.com/mutual-funds/quant-multi-cap-fund/portfolio-details/32605
SBI Multicap Fund,149887,42561,https://www.etmoney.com/mutual-funds/sbi-multicap-fund/portfolio-details/42561
Samco Multi Cap Fund,152847,44886,https://www.etmoney.com/mutual-funds/samco-multi-cap-fund/portfolio-details/44886
Sundaram Multi Cap Fund,149668,42488,https://www.etmoney.com/mutual-funds/sundaram-multi-cap-fund/portfolio-details/42448
TRUSTMF Multi Cap Fund,153644,43913,https://www.etmoney.com/mutual-funds/trust-multi-cap-fund/portfolio-details/43913
Tata Multicap Fund,151232,43469,https://www.etmoney.com/mutual-funds/tata-multicap-fund/portfolio-details/43469
UTI Multi Cap Fund,153515,45491,https://www.etmoney.com/mutual-funds/uti-multi-cap-fund/portfolio-details/45491
Union Multicap Fund,150858,43221,https://www.etmoney.com/mutual-funds/union-multicap-fund/portfolio-details/43221
WhiteOak Capital Multi Cap Fund,152071,44143,https://www.etmoney.com/mutual-funds/whiteoak-capital-multi-cap-fund/portfolio-details/44143
